SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
20,3,-17,0,-6,34,4,-9,-4,7,9,-5,-2,-8,-3,-8,6,-1,-15,-7,-16,-18,-10,-21,-7,-3,NaN,10,NaN,NaN,-11,28,NaN,NaN,NaN,NaN,NaN,NaN,-15,NaN,NaN,-7,-25,63,-10,NaN,NaN,-55,NaN,NaN,NaN
21,-7,1,22,-3,17,4,9,-19,31,18,45,-19,-1,-9,-1,3,-25,-9,4,1,10,-5,10,1,-13,NaN,NaN,-36,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,-8,8,13,NaN,6,-21,NaN,19,NaN,19,NaN,6,NaN
22,13,20,23,-12,26,0,9,22,-47,6,-12,177,9,-23,15,20,-15,9,8,-31,-24,5,-43,-26,-11,NaN,NaN,NaN,22,-1,19,NaN,NaN,32,NaN,6,44,NaN,NaN,-50,NaN,-14,14,31,NaN,22,22,NaN,-19,NaN
23,0,8,8,-7,-2,0,-1,-1,10,8,-16,-1,-10,7,13,-19,11,9,17,-12,-13,-5,4,12,-11,NaN,26,NaN,NaN,NaN,NaN,13,-7,0,NaN,NaN,-77,NaN,31,15,13,8,9,NaN,-14,NaN,6,11,NaN,3
24,10,-6,-9,5,-15,-11,12,20,-10,6,5,-1,-9,-8,0,-30,-4,-27,10,-3,-19,-12,-7,19,0,NaN,-47,7,-11,NaN,14,NaN,NaN,NaN,24,-3,NaN,NaN,NaN,-12,NaN,NaN,-61,-28,12,-2,17,NaN,NaN,-30
25,-67,-6,12,-8,5,48,8,-3,15,6,-10,38,-4,8,13,9,2,22,18,30,0,22,13,3,27,NaN,NaN,NaN,NaN,-9,NaN,NaN,NaN,NaN,-4,17,25,16,33,NaN,NaN,4,NaN,NaN,-2,NaN,-13,-29,17,NaN
26,7,-7,-3,13,-13,0,-2,-10,-1,-11,8,1,28,-8,-7,-8,-17,4,-1,-16,-7,-22,1,10,-13,NaN,NaN,NaN,NaN,NaN,6,NaN,-13,NaN,-29,NaN,3,NaN,NaN,32,6,NaN,24,NaN,NaN,NaN,-7,NaN,18,55
27,16,4,7,-25,-9,-33,-7,3,-16,4,8,-7,-1,-6,9,-9,3,-16,5,11,8,10,-1,13,-12,NaN,8,-12,NaN,NaN,NaN,NaN,39,-7,NaN,-5,4,NaN,NaN,NaN,NaN,-12,NaN,-22,NaN,2,10,NaN,NaN,NaN
28,-9,11,-1,7,2,4,7,3,-3,-25,7,-3,18,-19,-13,6,1,-1,3,2,-7,5,25,4,-16,NaN,NaN,106,8,5,5,NaN,NaN,NaN,-9,NaN,NaN,NaN,-7,NaN,-26,-16,NaN,NaN,-6,6,NaN,2,-20,NaN
29,1,7,-15,11,-8,-4,13,31,17,11,14,4,-36,16,26,-28,13,-8,13,-12,12,5,-3,7,-5,NaN,-22,NaN,9,NaN,NaN,3,12,NaN,-6,NaN,-5,-1,15,NaN,NaN,-8,16,NaN,-9,NaN,-18,NaN,6,10
30,-16,9,15,9,-26,5,10,32,13,-16,10,-1,18,-8,-19,-12,5,31,-11,14,20,-23,-2,-14,-2,NaN,NaN,NaN,NaN,17,-8,NaN,23,NaN,0,-11,10,NaN,20,NaN,NaN,4,NaN,NaN,-4,NaN,20,-50,NaN,-34
31,26,14,4,-4,28,4,12,-17,1,14,0,14,2,24,7,9,-33,-6,-8,-11,42,-8,11,14,17,NaN,-7,-8,NaN,NaN,NaN,NaN,-11,0,2,NaN,-3,33,3,NaN,NaN,-41,NaN,NaN,35,NaN,4,14,20,NaN
32,-17,-5,-10,-3,8,-12,-11,2,2,-1,-6,-29,4,13,5,-3,-8,23,4,-14,-7,-4,18,0,20,NaN,-8,NaN,7,NaN,NaN,5,NaN,-12,NaN,NaN,NaN,-8,5,-14,-17,-1,-13,NaN,NaN,NaN,15,NaN,23,-1
33,5,12,4,-3,7,21,-13,7,-1,5,-23,7,14,16,22,1,2,18,-13,-24,5,8,14,32,-7,NaN,NaN,0,NaN,20,NaN,NaN,NaN,16,-2,NaN,6,3,NaN,NaN,NaN,10,-9,NaN,-14,-24,15,-9,-4,NaN
34,-32,-26,4,35,27,25,102,-59,30,-9,-15,-21,11,27,47,-13,-5,-13,-9,-9,2,20,-65,-12,-4,NaN,-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23,NaN,-12,-5,15,-13,75,NaN,NaN,NaN,NaN,4,NaN,-30,NaN,NaN
35,-16,24,-12,-15,-2,-12,13,9,23,7,10,-7,7,8,-24,-3,2,0,14,3,-4,-1,6,-23,9,NaN,15,8,NaN,NaN,6,0,NaN,NaN,21,-26,-26,-16,21,NaN,0,NaN,-36,21,NaN,NaN,10,NaN,NaN,NaN
36,18,14,-2,13,6,-8,-9,-1,32,-6,1,-48,-16,5,0,10,6,1,9,-8,9,-13,6,2,-19,NaN,NaN,22,3,-10,NaN,6,3,-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6,5,NaN,NaN,17,38,NaN,NaN,NaN
37,-15,0,6,-7,8,-6,7,-39,-16,-21,3,-26,-4,3,-8,-14,23,-2,0,13,20,-8,4,17,-18,NaN,NaN,NaN,-26,NaN,NaN,0,-1,NaN,NaN,NaN,14,10,NaN,4,13,25,12,-12,-75,NaN,9,NaN,NaN,16
38,-17,-2,3,-16,5,-10,3,7,-19,-10,-18,-7,8,-2,-6,3,-4,2,31,-11,2,42,30,6,-18,NaN,-26,-12,NaN,NaN,NaN,-5,10,3,NaN,NaN,NaN,-5,-37,NaN,-18,-13,NaN,7,2,NaN,-15,NaN,-1,14
39,-10,-8,26,-8,-4,-22,-17,27,8,2,-6,-13,-1,12,-3,-35,8,-27,6,7,19,7,19,-4,11,NaN,-21,NaN,-7,-13,23,NaN,NaN,2,17,-8,NaN,NaN,-1,22,-8,NaN,NaN,-20,NaN,9,NaN,NaN,4,NaN
