SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
12,0.034907,3.4907,2.2864,0.50615,1.309,4.9393,2.0595,5.8294,5.5851,1.5184,2.2166,2.7751,3.159,4.4855,5.1487,0.017453,4.3459,4.6949,1.0297,3.002,1.2043,2.1642,3.9794,5.8643,4.6077,3.7001,5.044,4.6251,3.5081,4.2062,4.468,4.9393,2.6529,3.6128,1.8326,0.017453,0.59341,3.2812,1.3265,3.7699,1.0123,4.7473,5.3058,3.0369,2.3736,0.73304,3.8921,5.8992,5.8643,0.50615
13,0.95993,6.0737,4.2237,1.6057,4.6251,4.4331,5.8818,4.4331,0.92502,4.8695,0.64577,1.6581,4.9393,0.12217,2.8972,1.1519,2.8972,5.428,4.3982,4.0492,5.0615,5.777,5.3931,5.4105,3.7699,5.1662,4.1364,0.90757,4.311,3.2812,0.31416,0.76794,1.2392,4.5902,2.7576,4.311,1.9897,3.7001,1.0647,2.3562,5.3233,0.89012,1.7453,2.3562,1.7453,2.1991,3.8048,3.7001,2.6005,2.4609
14,3.9619,1.3788,2.3562,1.9373,4.8171,2.1991,1.9722,1.0297,1.501,1.5359,4.7298,0.71558,1.885,3.2638,4.7473,2.1817,2.3387,4.9393,2.042,0.29671,0.64577,2.1991,3.4732,6.0737,1.3265,4.6426,4.7647,2.9322,2.6005,5.0265,3.6826,5.3756,3.3685,1.7628,1.9548,0.5236,1.3788,4.0143,5.1313,6.0737,2.7053,4.311,5.236,2.2515,5.0615,1.1345,0.59341,5.5152,2.4435,0.7854
15,5.0789,3.3685,1.1868,0.55851,4.468,5.4803,5.3756,2.7227,6.2483,0.83776,4.3284,0.83776,1.0123,5.6374,3.3336,0.43633,1.7802,2.7925,3.2114,2.426,3.5605,3.8746,1.1868,2.0769,3.5605,4.3284,1.7453,6.2483,5.9341,3.6826,1.3788,0.85521,1.117,3.9444,3.4208,0.55851,4.0143,4.9218,5.9341,2.8798,4.9218,0.61087,5.4454,2.6529,6.1261,4.5902,5.777,0.17453,6.1436,5.1836
16,6.1785,5.4629,5.9167,3.4208,4.6077,2.042,3.4732,1.6581,1.0472,5.4454,6.0388,1.9199,2.0769,1.7279,3.159,2.7751,3.7525,4.0317,2.1991,4.66,3.4732,4.9742,4.2412,1.7977,0.50615,3.9794,4.5902,6.0737,1.3788,0.38397,5.62,4.1539,3.9095,3.8397,2.3562,4.7124,2.1642,1.4835,0.29671,4.5728,2.2864,2.5482,5.4454,2.3736,0.20944,1.2217,3.2638,0.89012,3.3161,5.4105
17,5.1662,4.9567,4.3284,2.8972,3.7525,5.1138,5.7421,2.6005,2.1642,0.087266,4.1015,2.618,3.5256,4.0143,3.5605,4.1364,4.8695,1.6057,5.5851,6.0563,0.90757,3.6303,1.0123,2.3387,4.119,3.4383,0.20944,3.4383,3.4558,3.6128,5.3233,1.0647,5.6723,6.161,3.1067,5.3931,3.7176,5.2534,5.8294,2.9496,6.0737,1.1694,4.5379,2.7751,0.76794,4.4331,2.1642,4.3982,3.1765,3.0369
18,6.1785,5.4629,5.9167,3.4208,4.6077,2.042,3.4732,1.6581,1.0472,5.4454,6.0388,1.9199,2.0769,1.7279,3.159,2.7751,3.7525,4.0317,2.1991,4.66,3.4732,4.9742,4.2412,1.7977,0.50615,3.9794,4.5902,6.0737,1.3788,0.38397,5.62,4.1539,3.9095,3.8397,2.3562,4.7124,2.1642,1.4835,0.29671,4.5728,2.2864,2.5482,5.4454,2.3736,0.20944,1.2217,3.2638,0.89012,3.3161,5.4105
19,3.9619,1.3788,2.3562,1.9373,4.8171,2.1991,1.9722,1.0297,1.501,1.5359,4.7298,0.71558,1.885,3.2638,4.7473,2.1817,2.3387,4.9393,2.042,0.29671,0.64577,2.1991,3.4732,6.0737,1.3265,4.6426,4.7647,2.9322,2.6005,5.0265,3.6826,5.3756,3.3685,1.7628,1.9548,0.5236,1.3788,4.0143,5.1313,6.0737,2.7053,4.311,5.236,2.2515,5.0615,1.1345,0.59341,5.5152,2.4435,0.7854
20,6.1785,5.4629,5.9167,3.4208,4.6077,2.042,3.4732,1.6581,1.0472,5.4454,6.0388,1.9199,2.0769,1.7279,3.159,2.7751,3.7525,4.0317,2.1991,4.66,3.4732,4.9742,4.2412,1.7977,0.50615,3.9794,4.5902,6.0737,1.3788,0.38397,5.62,4.1539,3.9095,3.8397,2.3562,4.7124,2.1642,1.4835,0.29671,4.5728,2.2864,2.5482,5.4454,2.3736,0.20944,1.2217,3.2638,0.89012,3.3161,5.4105
21,0.87266,6.0039,5.6549,0.13963,3.4907,5.6549,5.6374,4.3284,1.9722,2.2864,0.59341,1.309,4.9044,2.2515,5.4454,2.2864,0.43633,0.73304,5.9341,0.2618,3.4034,1.4486,1.9722,2.9147,1.6755,2.3387,4.4855,3.4208,5.7247,0.95993,1.5708,1.85,5.4803,5.4629,0.89012,5.8294,0.64577,4.9218,5.4978,2.9147,3.735,3.0194,4.3284,2.3911,2.2166,2.2166,5.2534,1.8151,5.2534,0.89012
22,0.99484,4.9218,4.3808,3.5605,1.5359,0.33161,1.3963,2.9845,0.62832,5.7247,0.54105,3.6303,2.5482,3.8921,1.1519,4.9218,2.0944,2.7751,2.7402,2.0595,2.1817,4.9742,2.0071,3.7874,1.1345,5.5501,1.3265,3.2987,4.8869,5.6025,2.426,0.10472,1.9373,4.4506,4.6426,2.0595,4.7822,1.6406,1.5708,0.29671,0.94248,1.6581,3.0543,5.4105,1.6232,1.117,5.4629,0.15708,1.7279,5.8119
23,1.2741,1.9199,4.7124,1.7977,0.22689,3.6652,0.43633,0.97738,3.1416,4.1888,1.3963,4.3982,1.4835,5.3582,2.4784,6.2308,5.6723,4.7124,2.4958,1.6232,4.119,0.85521,3.351,2.7925,1.0297,3.351,5.3756,2.2689,5.6898,5.6025,3.1241,3.8921,1.3614,0.97738,0.50615,4.3459,0.33161,2.1991,2.9322,5.1138,2.2166,2.5133,3.351,0.5236,4.0143,3.927,3.5605,4.7124,0.92502,0.087266
